Search Query,Title,Material,Weight Value,Net Quantity,Link,img_url
mold,Prime Bakers and Moulders Mini Aluminum Tart Mould Cups Set of 24 Small Baking molds for Oven (Medium),Aluminium,0.4,1,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyNDI2MzkzMDU5ODg5ODUwOjE3NTY5MTM3OTE6c3BfYXRmOjMwMDU1NTY2OTA4NjgzMjo6MDo6&url=%2FPrime-Bakers-Moulders-Mini-Tart%2Fdp%2FB0F7FFRS2V%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.EV3a2DHsDZWACjXhn_QlE-OM11nEwIK9TPX4BITIJLeacJxz-7-Pwb8XDbp7vKIRLUX-cEdc3OMRARSi1jQ7M36b_qnyypSzkS8U4ysbQG1d3aVwKsvWnSRKs8pSXmZPHqBd34hGqbF3Ioxb8inuN2ux7nn4AI2uSE0SdkZBWP5_63Nv6Nfsm4fb9GVS2bm6Jcb5XJLtTAJSa0C8HG1DoCk-VS-0JBMpfhM4gadUQUaqc-gHc2XqfLqTNVjqjsZIrE0UeRvrkeA6ZvmcI7ub9WQELciEBxdfJ7zrdDcdU0M.qv-8SO_Mk8YRNDWmcvZY9dadxVKKC-G8CJjoqcc8jMc%26dib_tag%3Dse%26keywords%3Dmold%26qid%3D1756913791%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&aref=4GJNjN5eXf&sp_cr=ZAZ , https://m.media-amazon.com/images/I/51oxyqgpKvL._SY300_SX300_QL70_FMwebp_.jpg
mold,"Amazon Brand - Solimo Silicone Soap Mould, Circle, Square, Oval and Heart Shape,Red, 15 Cm",Silicone,0.1,1,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyNDI2MzkzMDU5ODg5ODUwOjE3NTY5MTM3OTE6c3BfYXRmOjMwMDY4NTA4MzQxOTEzMjo6MDo6&url=%2FAmazon-Brand-Solimo-Silicone-Circle%2Fdp%2FB0C53H9N75%2Fref%3Dsr_1_2_sspa%3Fdib%3DeyJ2IjoiMSJ9.EV3a2DHsDZWACjXhn_QlE-OM11nEwIK9TPX4BITIJLeacJxz-7-Pwb8XDbp7vKIRLUX-cEdc3OMRARSi1jQ7M36b_qnyypSzkS8U4ysbQG1d3aVwKsvWnSRKs8pSXmZPHqBd34hGqbF3Ioxb8inuN2ux7nn4AI2uSE0SdkZBWP5_63Nv6Nfsm4fb9GVS2bm6Jcb5XJLtTAJSa0C8HG1DoCk-VS-0JBMpfhM4gadUQUaqc-gHc2XqfLqTNVjqjsZIrE0UeRvrkeA6ZvmcI7ub9WQELciEBxdfJ7zrdDcdU0M.qv-8SO_Mk8YRNDWmcvZY9dadxVKKC-G8CJjoqcc8jMc%26dib_tag%3Dse%26keywords%3Dmold%26qid%3D1756913791%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&aref=hnch7V1p4k&sp_cr=ZAZ , https://m.media-amazon.com/images/I/41zrxeVAhyL._SY300_SX300_QL70_FMwebp_.jpg
mold,REDSKY Silicone Rectangular Mould | 6-Cavity | Purple | DIY Baking & Soap Making,Silicone,0.4,4,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyNDI2MzkzMDU5ODg5ODUwOjE3NTY5MTM3OTE6c3BfYXRmOjMwMDE1MzE0MDMyODEzMjo6MDo6&url=%2FSilicone-Cavity-Rectangular-Baking-Hand-Made%2Fdp%2FB0CL7GVGR9%2Fref%3Dsr_1_3_sspa%3Fdib%3DeyJ2IjoiMSJ9.EV3a2DHsDZWACjXhn_QlE-OM11nEwIK9TPX4BITIJLeacJxz-7-Pwb8XDbp7vKIRLUX-cEdc3OMRARSi1jQ7M36b_qnyypSzkS8U4ysbQG1d3aVwKsvWnSRKs8pSXmZPHqBd34hGqbF3Ioxb8inuN2ux7nn4AI2uSE0SdkZBWP5_63Nv6Nfsm4fb9GVS2bm6Jcb5XJLtTAJSa0C8HG1DoCk-VS-0JBMpfhM4gadUQUaqc-gHc2XqfLqTNVjqjsZIrE0UeRvrkeA6ZvmcI7ub9WQELciEBxdfJ7zrdDcdU0M.qv-8SO_Mk8YRNDWmcvZY9dadxVKKC-G8CJjoqcc8jMc%26dib_tag%3Dse%26keywords%3Dmold%26qid%3D1756913791%26sr%3D8-3-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&aref=aAfoHfbPmn&sp_cr=ZAZ ,https://m.media-amazon.com/images/I/41gAM0Zwo1L._SX300_SY300_QL70_FMwebp_.jpg
mold,"Reyal Plastic 10"" X 10"" 225 KHANNA Chequred Tile Mould(H : 25mm) Interlocking Paver block Mould outdoor paving chequred tiles mould (10)",Plastic,0.3,1,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyNDI2MzkzMDU5ODg5ODUwOjE3NTY5MTM3OTE6c3BfYXRmOjMwMDY3MjIzNzg4MTczMjo6MDo6&url=%2FReyal-Plastic-KHANNA-Chequred-Mould%2Fdp%2FB0DJ8PWLS3%2Fref%3Dsr_1_4_sspa%3Fdib%3DeyJ2IjoiMSJ9.EV3a2DHsDZWACjXhn_QlE-OM11nEwIK9TPX4BITIJLeacJxz-7-Pwb8XDbp7vKIRLUX-cEdc3OMRARSi1jQ7M36b_qnyypSzkS8U4ysbQG1d3aVwKsvWnSRKs8pSXmZPHqBd34hGqbF3Ioxb8inuN2ux7nn4AI2uSE0SdkZBWP5_63Nv6Nfsm4fb9GVS2bm6Jcb5XJLtTAJSa0C8HG1DoCk-VS-0JBMpfhM4gadUQUaqc-gHc2XqfLqTNVjqjsZIrE0UeRvrkeA6ZvmcI7ub9WQELciEBxdfJ7zrdDcdU0M.qv-8SO_Mk8YRNDWmcvZY9dadxVKKC-G8CJjoqcc8jMc%26dib_tag%3Dse%26keywords%3Dmold%26qid%3D1756913791%26sr%3D8-4-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&aref=OJoQ4l8yqo&sp_cr=ZAZ , https://m.media-amazon.com/images/I/410OfMS3mzL._SY445_SX342_QL70_FMwebp_.jpg
mold,Clazkit Flexible Silicone Honeycomb 37 Cavity Ice Cube Tray for Freezer Moulds Small Cubes Whiskey Fridge Bar Soft Ice Cube Tray -Pack of 1,Silicone,0.1,1,https://www.amazon.in/Clazkit-Flexible-Silicone-Honeycomb-Multicolor/dp/B0BVQJGGY1/ref=sr_1_5?dib=eyJ2IjoiMSJ9.EV3a2DHsDZWACjXhn_QlE-OM11nEwIK9TPX4BITIJLeacJxz-7-Pwb8XDbp7vKIRLUX-cEdc3OMRARSi1jQ7M36b_qnyypSzkS8U4ysbQG1d3aVwKsvWnSRKs8pSXmZPHqBd34hGqbF3Ioxb8inuN2ux7nn4AI2uSE0SdkZBWP5_63Nv6Nfsm4fb9GVS2bm6Jcb5XJLtTAJSa0C8HG1DoCk-VS-0JBMpfhM4gadUQUaqc-gHc2XqfLqTNVjqjsZIrE0UeRvrkeA6ZvmcI7ub9WQELciEBxdfJ7zrdDcdU0M.qv-8SO_Mk8YRNDWmcvZY9dadxVKKC-G8CJjoqcc8jMc&dib_tag=se&keywords=mold&qid=1756913791&sr=8-5 , https://m.media-amazon.com/images/I/51zd-inyAwL._SX300_SY300_QL70_FMwebp_.jpg
mold,"Clazkit Silicone Circle, Square, Oval and Heart Shape Soap Cake Making Mould, Multicolor",Silicone,0.07,1,https://www.amazon.in/Clazkit-Silicone-Circle-Square-Multicolor/dp/B07XT16YH4/ref=sr_1_6?dib=eyJ2IjoiMSJ9.EV3a2DHsDZWACjXhn_QlE-OM11nEwIK9TPX4BITIJLeacJxz-7-Pwb8XDbp7vKIRLUX-cEdc3OMRARSi1jQ7M36b_qnyypSzkS8U4ysbQG1d3aVwKsvWnSRKs8pSXmZPHqBd34hGqbF3Ioxb8inuN2ux7nn4AI2uSE0SdkZBWP5_63Nv6Nfsm4fb9GVS2bm6Jcb5XJLtTAJSa0C8HG1DoCk-VS-0JBMpfhM4gadUQUaqc-gHc2XqfLqTNVjqjsZIrE0UeRvrkeA6ZvmcI7ub9WQELciEBxdfJ7zrdDcdU0M.qv-8SO_Mk8YRNDWmcvZY9dadxVKKC-G8CJjoqcc8jMc&dib_tag=se&keywords=mold&qid=1756913791&sr=8-6 , https://m.media-amazon.com/images/I/4197P1IvlnL._SX300_SY300_QL70_FMwebp_.jpg
mold,"Clazkit Silicone Flower Shape Chocolate Mould (Brown, 10-inch)",Silicone,0.05,1,https://www.amazon.in/Clazkit-Silicone-Flower-Chocolate-10-inch/dp/B07XSZJR9T/ref=sr_1_7?dib=eyJ2IjoiMSJ9.EV3a2DHsDZWACjXhn_QlE-OM11nEwIK9TPX4BITIJLeacJxz-7-Pwb8XDbp7vKIRLUX-cEdc3OMRARSi1jQ7M36b_qnyypSzkS8U4ysbQG1d3aVwKsvWnSRKs8pSXmZPHqBd34hGqbF3Ioxb8inuN2ux7nn4AI2uSE0SdkZBWP5_63Nv6Nfsm4fb9GVS2bm6Jcb5XJLtTAJSa0C8HG1DoCk-VS-0JBMpfhM4gadUQUaqc-gHc2XqfLqTNVjqjsZIrE0UeRvrkeA6ZvmcI7ub9WQELciEBxdfJ7zrdDcdU0M.qv-8SO_Mk8YRNDWmcvZY9dadxVKKC-G8CJjoqcc8jMc&dib_tag=se&keywords=mold&qid=1756913791&sr=8-7 , https://m.media-amazon.com/images/I/61ea0yVYl7L._SX679_.jpg
mold,"Radiance Store 13 Cavity Daisy Flower Clay Molds for Jewelry Making, Cake Decoration, Silicone Flower Molds for Earrings Candy Cake Candle Wax",Silicone,0.25,1,https://www.amazon.in/Radiance-Jewelry-Decoration-Silicone-Earrings/dp/B0F63BSH8D/ref=sr_1_8?dib=eyJ2IjoiMSJ9.EV3a2DHsDZWACjXhn_QlE-OM11nEwIK9TPX4BITIJLeacJxz-7-Pwb8XDbp7vKIRLUX-cEdc3OMRARSi1jQ7M36b_qnyypSzkS8U4ysbQG1d3aVwKsvWnSRKs8pSXmZPHqBd34hGqbF3Ioxb8inuN2ux7nn4AI2uSE0SdkZBWP5_63Nv6Nfsm4fb9GVS2bm6Jcb5XJLtTAJSa0C8HG1DoCk-VS-0JBMpfhM4gadUQUaqc-gHc2XqfLqTNVjqjsZIrE0UeRvrkeA6ZvmcI7ub9WQELciEBxdfJ7zrdDcdU0M.qv-8SO_Mk8YRNDWmcvZY9dadxVKKC-G8CJjoqcc8jMc&dib_tag=se&keywords=mold&qid=1756913791&sr=8-8 , https://m.media-amazon.com/images/I/51sMU6EF3WL._SY300_SX300_QL70_FMwebp_.jpg
mold,"Stewit Chocolate Silicon Mould, Random Design Chocolate Mould for Baking Making Chocolates (Mix Mould)",Silicone,0.15,1,https://www.amazon.in/Stewit-Chocolate-Silicon-Random-Chocolates/dp/B0DPVBM96N/ref=sr_1_9?dib=eyJ2IjoiMSJ9.EV3a2DHsDZWACjXhn_QlE-OM11nEwIK9TPX4BITIJLeacJxz-7-Pwb8XDbp7vKIRLUX-cEdc3OMRARSi1jQ7M36b_qnyypSzkS8U4ysbQG1d3aVwKsvWnSRKs8pSXmZPHqBd34hGqbF3Ioxb8inuN2ux7nn4AI2uSE0SdkZBWP5_63Nv6Nfsm4fb9GVS2bm6Jcb5XJLtTAJSa0C8HG1DoCk-VS-0JBMpfhM4gadUQUaqc-gHc2XqfLqTNVjqjsZIrE0UeRvrkeA6ZvmcI7ub9WQELciEBxdfJ7zrdDcdU0M.qv-8SO_Mk8YRNDWmcvZY9dadxVKKC-G8CJjoqcc8jMc&dib_tag=se&keywords=mold&qid=1756913791&sr=8-9 , https://m.media-amazon.com/images/I/41TYGpAxKxL._SX300_SY300_QL70_FMwebp_.jpg
mold,"53 Arts Resin Silicone Tray Mold for DIY Handmade Plate (Oval Capsule Tray Mould, 20.5 X 10.3 cm) - White",Silicone,0.05,1,https://www.amazon.in/Resin-Silicone-Handmade-Plate-Capsule/dp/B09L77HYZB/ref=sr_1_10?dib=eyJ2IjoiMSJ9.EV3a2DHsDZWACjXhn_QlE-OM11nEwIK9TPX4BITIJLeacJxz-7-Pwb8XDbp7vKIRLUX-cEdc3OMRARSi1jQ7M36b_qnyypSzkS8U4ysbQG1d3aVwKsvWnSRKs8pSXmZPHqBd34hGqbF3Ioxb8inuN2ux7nn4AI2uSE0SdkZBWP5_63Nv6Nfsm4fb9GVS2bm6Jcb5XJLtTAJSa0C8HG1DoCk-VS-0JBMpfhM4gadUQUaqc-gHc2XqfLqTNVjqjsZIrE0UeRvrkeA6ZvmcI7ub9WQELciEBxdfJ7zrdDcdU0M.qv-8SO_Mk8YRNDWmcvZY9dadxVKKC-G8CJjoqcc8jMc&dib_tag=se&keywords=mold&qid=1756913791&sr=8-10 , https://m.media-amazon.com/images/I/419yB28gUhL._SY445_SX342_QL70_FMwebp_.jpg
